PIDM,TERM_CODE,STUDENT_LEVEL,DEGREE_CODE_1,DEGREE_DESC_1,COLLEGE_CODE_1,COLLEGE_DESC_1,DEPT_CODE_1,DEPT_DESC_1,MAJOR_CODE_1,MAJOR_DESC_1,DEGREE_CODE_2,DEGREE_DESC_2,DEPT_CODE_2,DEPT_DESC_2,COLLEGE_CODE_2,COLLEGE_DESC_2,MAJOR_CODE_2,MAJOR_DESC_2
5909,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
45088,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BA,Bachelor of Arts,PSC,Political Science,LA,College Letters Arts Sciences,PSC,Political Science
103439,202250,GR,MED,Master of Education,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",EDCM,Curriculum and Instruction,TLIC,Teacher Licensure,TEDB,"Spec Ed,ErlyChld Ed,Rdg,Ed Tch",PS,College of Health and Applied Science,LSPL,Licensure-Special Education
119873,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
171042,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,PSY,Psychology,LA,College Letters Arts Sciences,PSY,Psychology
249658,202250,UG,BA,Bachelor of Arts,ED,School of Education,TED1,Elementary Education &Literacy,EDU,Elementary Education,TLIC,Teacher Licensure,TEDA,"Elem,Secondary,Ling Div,K-12",PS,College of Health and Applied Science,LTLG,Licensure-General Teacher Lic
259544,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYO,Psychology,TLIC,Teacher Licensure,ECEL,Early Childhood & Elem Ed,PS,College of Health and Applied Science,LECE,Licensure-Early Childhood Educ
307718,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
320379,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
345782,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,TLIC,Teacher Licensure,EDUC,Teacher Education,PS,College of Health and Applied Science,LK12,Licensure-K-12 Education
348554,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
350380,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
356753,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
376721,202250,GR,MED,Master of Education,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",EDCM,Curriculum and Instruction,TLIC,Teacher Licensure,TEDA,"Elem,Secondary,Ling Div,K-12",PS,College of Health and Applied Science,LK12,Licensure-K-12 Education
471522,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
529655,202250,GR,MED,Master of Education,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",EDCM,Curriculum and Instruction,TLIC,Teacher Licensure,EDUC,Teacher Education,PS,College of Health and Applied Science,LEDS,Licensure-Secondary Education
531851,202250,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,TLIC,Teacher Licensure,EDUC,Teacher Education,PS,College of Health and Applied Science,LEDS,Licensure-Secondary Education
543652,202250,GR,MBA,Master of Business Admin,BU,College of Business,BUS,College of Business,BUSM,Business Administration,BA,Bachelor of Arts,MGT,Management,BU,College of Business,GBS,Global Business Studies
547610,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
569195,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
610643,202250,UG,UNDD,Undeclared Degree,LA,College Letters Arts Sciences,IDP,Individual Degree Program All,UNID,Undeclared IDP,BS,Bachelor of Science,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,AAMO,Aviation & Aerospace Mgt
622500,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
705889,202250,UG,UNDD,Undeclared Degree,LA,College Letters Arts Sciences,IDP,Individual Degree Program All,UNID,Undeclared IDP,CERT,Certificate Program,HSC,Human Services and Counseling,HS,College of Health and Applied Science,CNPS,Certificate-Nonprofit Studies
710488,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
712166,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
764155,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,EAS,Earth and Atmospheric Sciences,ENV,Environmental Science,CERT,Certificate Program,EAS,Earth and Atmospheric Sciences,LA,College Letters Arts Sciences,CGIS,Certificate-Geographic Info Sy
768634,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCM,Health Care Management
772559,202250,UG,BFA,Bachelor of Fine Arts,LA,College Letters Arts Sciences,ART,Art,ART,Art,TLIC,Teacher Licensure,TEDA,"Elem,Secondary,Ling Div,K-12",PS,College of Health and Applied Science,TLK,Pre-K-12 Education
777269,202250,UG,TLIC,Teacher Licensure,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",LTIR,Licensure-Teacher in Residence,BA,Bachelor of Arts,SOAN,Sociology and Anthropology,LA,College Letters Arts Sciences,ANT,Anthropology
800002,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
800462,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BA,Bachelor of Arts,CAS,Communication Arts & Sciences,LA,College Letters Arts Sciences,SLH,Speech Lang & Hearing Science
800975,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
804595,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
809922,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,HSP,Human Services,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
815569,202250,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
825509,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SLHS,"Speech, Language, Hearing Sci",SLH,Speech Lang & Hearing Science,CERT,Certificate Program,SLHS,"Speech, Language, Hearing Sci",HS,College of Health and Applied Science,CSL,Certificate-SpcLangPathlgyAsst
825862,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,JMP,Journalism & Media Production,EJMP,Extended Journalism&Media Prod,CERT,Certificate Program,JMP,Journalism & Media Production,LA,College Letters Arts Sciences,CSTR,Certificate-StrategicCommnctn
826180,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
834279,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,BSBA,Business Administration,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
838131,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BA,Bachelor of Arts,IDPL,College of LAS - IDP,LA,College Letters Arts Sciences,IDP,Individualized Degree Program
845470,202250,UG,BA,Bachelor of Arts,BU,College of Business,ECO,Economics,ECO,Economics,BS,Bachelor of Science,HTL,DimondDeptHotelMgmt,SH,School of Hospitality,BRWO,Brewery Operations
846935,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAMO,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
850473,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
851084,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,EAS,Earth and Atmospheric Sciences,ENV,Environmental Science,BA,Bachelor of Arts,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
853645,202250,GR,GCERT,Graduate Certificate Program,HS,College of Health and Applied Science,NUT,Nutrition,CNDI,Certificate-DieteticInternship,BS,Bachelor of Science,NUT,Nutrition,HS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
854231,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BS,Bachelor of Science,CJC,Criminal Justice & Criminology,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology
855927,202250,UG,BS,Bachelor of Science,BU,College of Business,CIS,ComputerInfoSystm&BusAnalytics,CIN,Computer Information Systems,CERT,Certificate Program,MGT,Management,BU,College of Business,PCEP,PCert-Entrepreneurship
857931,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
862005,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCM,Health Care Management
877568,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,HDFS,Human Dev. and Family Studies
882145,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSYC,Psychology
888456,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,IDPA,Collg of Hlth & Applied Sc IDP,HS,College of Health and Applied Science,IDP,Individualized Degree Program
888674,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
890889,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,GCERT,Graduate Certificate Program,NUT,Nutrition,HS,College of Health and Applied Science,CNDI,Certificate-DieteticInternship
891560,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWKO,Social Work
904723,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,COMM,Communication Studies,COMS,Communication Studies,CERT,Certificate Program,JMP,Journalism & Media Production,LA,College Letters Arts Sciences,CPRL,Certificate-Public Relations
907012,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
911044,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
911592,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
911871,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CSC,Certificate-Space Commercltzn
913563,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
921646,202250,UG,UNDD,Undeclared Degree,LA,College Letters Arts Sciences,IDP,Individual Degree Program All,UNID,Undeclared IDP,CERT,Certificate Program,HTL,DimondDeptHotelMgmt,SH,School of Hospitality,CTRC,Certificate-Travel Consultant
932375,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
932936,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,HCM,Health Care Management
933278,202250,UG,BS,Bachelor of Science,SH,School of Hospitality,HTL,DimondDeptHotelMgmt,EVTM,Event & Meeting Management,BA,Bachelor of Arts,MDL,Modern Languages,LA,College Letters Arts Sciences,MDL,Modern Languages
933473,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CSC,Certificate-Space Commercltzn
935074,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
935101,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
937288,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HEP,Health Professions,HCPS,Health Care Professional Srvcs,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
938023,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,HSC,Human Services and Counseling,PS,College of Health and Applied Science,HSP,Human Services
938515,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BS,Bachelor of Science,HSC,Human Services and Counseling,HS,College of Health and Applied Science,HSP,Human Services
941326,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HEP,Health Professions,HCM,Health Care Management,CERT,Certificate Program,HEP,Health Professions,HS,College of Health and Applied Science,CASL,Certificate-Aging Services Ldr
942141,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,MDL,Modern Languages,LA,College Letters Arts Sciences,MDL,Modern Languages
944789,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
945724,202250,UG,BS,Bachelor of Science,BU,College of Business,MGT,Management,MGT,Management,BS,Bachelor of Science,MKT,Marketing,BU,College of Business,BSBA,Business Administration
946337,202250,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
952221,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
952863,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
953874,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,BA,Bachelor of Arts,PSC,Political Science,LA,College Letters Arts Sciences,PSC,Political Science
958928,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,BA,Bachelor of Arts,ENG,English,LA,College Letters Arts Sciences,ENG,English
967305,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,SWK,Social Work,SWK,Social Work,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
970157,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
972740,202250,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
974056,202250,UG,BME,Bachelor of Music Education,LA,College Letters Arts Sciences,MUS,Music,MED,Music Education,BM,Bachelor of Music,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
978110,202250,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
979258,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SOAN,Sociology and Anthropology,ANT,Anthropology,BS,Bachelor of Science,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
981319,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
981941,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYO,Psychology,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,HDFO,Human Dev. & Family Studies
982594,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
983778,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
984078,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,COMM,Communication Studies,COMS,Communication Studies,BS,Bachelor of Science,CIS,ComputerInfoSystm&BusAnalytics,BU,College of Business,CIN,Computer Information Systems
987496,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUD,Nutrition and Dietetics,MS,Master of Science,NUT,Nutrition,HS,College of Health and Applied Science,NUDM,Nutrition and Dietetics - MS
988049,202250,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCM,Health Care Management
988551,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
988793,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,PHY,Physics,PHY,Physics,BS,Bachelor of Science,EAS,Earth and Atmospheric Sciences,LA,College Letters Arts Sciences,MTR,Meteorology
989155,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWKO,Social Work
989257,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,HIS,History,HIS,History,BS,Bachelor of Science,CIS,ComputerInfoSystm&BusAnalytics,BU,College of Business,CIN,Computer Information Systems
991248,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
997669,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYBM,Cybersecurity - MS,BS,Bachelor of Science,CJC,Criminal Justice & Criminology,PS,College of Health and Applied Science,CJC,Criminal Justice & Criminology
1000366,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,CERT,Certificate Program,EAS,Earth and Atmospheric Sciences,LA,College Letters Arts Sciences,CGIS,Certificate-Geographic Info Sy
1000666,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,HSC,Human Services and Counseling,PS,College of Health and Applied Science,HSP,Human Services
1002093,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1005180,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
1006726,202250,UG,UNDD,Undeclared Degree,0,No College Designated,UND,Undeclared,PUND,Prep External,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
1007114,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,HDFS,Human Dev. and Family Studies
1008327,202250,UG,BA,Bachelor of Arts,BU,College of Business,MGT,Management,ENT,Entrepreneurship,CERT,Certificate Program,MGT,Management,BU,College of Business,PCEP,PCert-Entrepreneurship
1008521,202250,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
1009326,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HEP,Health Professions,IHC,Integrative Health Care,CERT,Certificate Program,HSC,Human Services and Counseling,HS,College of Health and Applied Science,PCNP,PCert-Nonprofit Studies
1011596,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1012242,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1014286,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1015852,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BS,Bachelor of Science,HSC,Human Services and Counseling,HS,College of Health and Applied Science,HSP,Human Services
1016896,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1017004,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYBM,Cybersecurity - MS,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1017493,202250,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1018162,202250,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
1018566,202250,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,BA,Bachelor of Arts,PHI,Philosophy,LA,College Letters Arts Sciences,PHI,Philosophy
1019888,202250,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1020009,202250,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1020185,202250,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUDM,Nutrition and Dietetics - MS,BS,Bachelor of Science,NUT,Nutrition,HS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
1020557,202250,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
