PIDM,TERM_CODE,STUDENT_LEVEL,DEGREE_CODE_1,DEGREE_DESC_1,COLLEGE_CODE_1,COLLEGE_DESC_1,DEPT_CODE_1,DEPT_DESC_1,MAJOR_CODE_1,MAJOR_DESC_1,DEGREE_CODE_2,DEGREE_DESC_2,DEPT_CODE_2,DEPT_DESC_2,COLLEGE_CODE_2,COLLEGE_DESC_2,MAJOR_CODE_2,MAJOR_DESC_2
1081321,202230,UG,BM,Bachelor of Music,LA,College Letters Arts Sciences,MUS,Music,MUS,Music,BA,Bachelor of Arts,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
1081414,202230,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,JMP,Journalism & Media Production,TWE,Technical Writing & Editing,BS,Bachelor of Science,JMP,Journalism & Media Production,LA,College Letters Arts Sciences,TWE,Technical Writing & Editing
1081645,202230,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1081881,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,SWK,Social Work,SWK,Social Work,BA,Bachelor of Arts,ART,Art,LA,College Letters Arts Sciences,ART,Art
1082820,202230,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,BA,Bachelor of Arts,COMM,Communication Studies,LA,College Letters Arts Sciences,COMS,Communication Studies
1083478,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1083977,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CSC,Certificate-Space Commercltzn
1084187,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,PHI,Philosophy,PHI,Philosophy,BS,Bachelor of Science,CS,Computer Sciences,HS,College of Health and Applied Science,CS,Computer Science
1085218,202230,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1086336,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SOAN,Sociology and Anthropology,ANT,Anthropology,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1086517,202230,GR,MS,Master of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYBM,Cybersecurity - MS,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
1086586,202230,UG,BME,Bachelor of Music Education,LA,College Letters Arts Sciences,MUS,Music,MED,Music Education,BM,Bachelor of Music,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
1086698,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AMSI,Ad. Manufng. Sci. Inst.,AMS,Advncd Manufacturing Sciences,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1087019,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1087288,202230,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
1087635,202230,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1087795,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,HIS,History,HIS,History,BS,Bachelor of Science,CJC,Criminal Justice & Criminology,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology
1088008,202230,UG,BM,Bachelor of Music,LA,College Letters Arts Sciences,MUS,Music,MUS,Music,BA,Bachelor of Arts,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
1088250,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1088414,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,THAD,Theatre and Dance,DANC,Dance,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1088867,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CJC,Criminal Justice & Criminology,BA,Bachelor of Arts,SOAN,Sociology and Anthropology,LA,College Letters Arts Sciences,SOC,Sociology
1088957,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CJC,Criminal Justice & Criminology,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1088969,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,JMP,Journalism & Media Production,JRN,Journalism,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1089474,202230,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1089570,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1090621,202230,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1090653,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SOAN,Sociology and Anthropology,ANT,Anthropology,BS,Bachelor of Science,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
1090701,202230,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1091291,202230,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,IDPL,College of LAS - IDP,IDP,Individualized Degree Program,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1091614,202230,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
1092478,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,HSP,Human Services,CERT,Certificate Program,HSC,Human Services and Counseling,HS,College of Health and Applied Science,CHY,Certificate-High Risk Youth
1093088,202230,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
1093284,202230,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1093362,202230,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1093497,202230,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1093503,202230,UG,BS,Bachelor of Science,BU,College of Business,MGT,Management,MGT,Management,BA,Bachelor of Arts,THAD,Theatre and Dance,LA,College Letters Arts Sciences,DANC,Dance
1094197,202230,UG,BS,Bachelor of Science,SH,School of Hospitality,HTL,DimondDeptHotelMgmt,HLDR,Hospitality Leadership,BA,Bachelor of Arts,ENG,English,LA,College Letters Arts Sciences,ENG,English
